,Unnamed: 0.1,start,end,strand,utr5,genes,utrs,Osize,newRPK
635,rimJ,1124697,1125368,0,rimJ - ,['rimJ'],['rimJ-'],1,7.342380333066279
636,yceH,1125379,1126026,0,,['yceH'],,1,12.074405298239459
637,yceM,1126028,1126951,0,,['yceM'],,1,25.337176578465023
638,murJ,1127005,1128596,0,murJ - ,['murJ'],['murJ-'],1,43.80578648430244
639,flgAMN,1128636,1130085,1,,"['flgA', 'flgM', 'flgN']","['flgA-flgM', 'flgM-flgN']",3,2.946495608768622
640,flgBCDEFGHIJ,1130240,1137534,0,,"['flgB', 'flgC', 'flgD', 'flgE', 'flgF', 'flgG', 'flgH', 'flgI', 'flgJ']","['flgB-flgC', 'flgC-flgD', 'flgD-flgE', 'flgE-flgF', 'flgF-flgG', 'flgG-flgH', 'flgH-flgI']",9,6.325003432408948
641,flgKL,1137575,1140208,0,flgK - ,"['flgK', 'flgL']","['flgK-', 'flgK-flgL']",2,0.873211447858662
642,rne,1140404,1143589,1,,['rne'],,1,77.4162634881017
643,yceQ,1143724,1144044,0,,['yceQ'],,1,0.2032699790465877
644,rluC,1144162,1145121,0,,['rluC'],,1,9.47767511887798
645,yceF,1145233,1145923,1,yceF-,['yceF'],['yceF-'],1,17.02280997053376
646,sraB,1145811,1145979,0,,['sraB'],,1,12.746585963404511
647,yceD-rpmF-plsX-fabHDG-acpP-fabF,1145871,1152402,0,yceD - ,"['yceD', 'rpmF', 'plsX', 'fabH', 'fabD', 'fabG', 'acpP', 'fabF']","['yceD-', 'yceD-rpmF', 'rpmF-plsX', 'plsX-fabH', 'fabH-fabD', 'fabD-fabG', 'fabG-acpP', 'acpP-fabF']",8,279.53832442175246
648,pabC-yceG-tmk-holB-ycfH,1152522,1156796,0,,"['pabC', 'yceG', 'tmk', 'holB', 'ycfH']","['pabC-yceG', 'holB-ycfH']",5,8.333728609003316
649,ptsG,1156959,1158524,0,ptsG - ,['ptsG'],['ptsG-'],1,109.26774916692037
650,fhuE,1158584,1160773,1,,['fhuE'],,1,1.0362487043459088
651,hinT-ycfL-lpoB-thiK-nagZ-ycfP,1161047,1164907,0,hinT - ,"['hinT', 'ycfL', 'lpoB', 'thiK', 'nagZ', 'ycfP']","['hinT-', 'hinT-ycfL', 'ycfL-lpoB', 'thiK-nagZ', 'nagZ-ycfP']",6,23.17662234807761
652,ndh,1165274,1166611,0,ndh - ,['ndh'],['ndh-'],1,2.931230078287539
653,ycfJ,1166821,1167360,0,,['ycfJ'],,1,0.7157413552744963
654,comR,1167422,1168054,1,,['comR'],,1,6.178390283043883
655,bhsA,1168295,1168552,0,,['bhsA'],,1,0.7082082944285665
656,ycfS,1168634,1169596,1,,['ycfS'],,1,12.934538239855197
657,mfd,1169740,1173251,1,mfd-,['mfd'],['mfd-'],1,44.712082402973394
658,ycfT,1173314,1174387,1,,['ycfT'],,1,0.9640635262046723
659,lolCDE,1174572,1177786,0,lolC - ,"['lolC', 'lolD', 'lolE']",['lolC-'],3,38.661241409337656
660,nagK-cobB,1177815,1179581,0,,"['nagK', 'cobB']",['nagK-cobB'],2,27.71550947978244
661,ymfA-ycfZ,1179701,1180947,1,,"['ymfA', 'ycfZ']",,2,1.3118525227551316
662,potABCD,1181005,1184816,1,,"['potA', 'potB', 'potC', 'potD']",['potA-potB'],4,39.6105693185937
663,pepT,1184960,1186292,0,pepT - ,['pepT'],['pepT-'],1,2.477152275441143
664,ycfD,1186341,1187489,1,ycfD-,['ycfD'],['ycfD-'],1,68.10466294411201
665,phoPQ,1187538,1189696,1,phoP-,"['phoP', 'phoQ']",['phoP-'],2,14.977212732883634
666,hflD-purB,1189838,1191853,1,,"['hflD', 'purB']",['hflD-purB'],2,58.472336747293866
667,mnmA,1191889,1193023,1,mnmA-,['mnmA'],['mnmA-'],1,60.975277294348466
668,rluE-nudJ,1193049,1194192,1,rluE-,"['rluE', 'nudJ']","['rluE-', 'rluE-nudJ']",2,7.873460695952666
669,icd,1194230,1195595,0,icd - ,['icd'],['icd-'],1,44.857138964083155
670,C0293,1195936,1196008,0,,['C0293'],,1,0.18426866791754287
671,ymfED,1196089,1197459,1,,"['ymfE', 'ymfD']",,2,0.41978671496178777
672,lit,1197917,1198810,0,,['lit'],,1,0.1372997387209991
673,ymfH-xisE-intE,1198901,1200602,1,,"['ymfH', 'xisE', 'intE']",['ymfH-xisE'],3,6.615662066246412
674,ymfI,1200690,1201060,0,ymfI - ,['ymfI'],['ymfI-'],1,0.6274599242454276
675,ymfJ,1200998,1201407,1,ymfJ-,['ymfJ'],['ymfJ-'],1,0.365835879737746
676,ymfK,1201481,1202155,1,,['ymfK'],,1,7.227183380496521
677,ymfTLMNROPQ-ycfK-ymfS,1202246,1207767,0,,"['ymfT', 'ymfL', 'ymfM', 'ymfN', 'ymfR', 'ymfO', 'ymfP', 'ymfQ', 'ycfK', 'ymfS']","['ymfT-ymfL', 'ymfM-ymfN', 'ymfN-ymfR', 'ymfO-ymfP', 'ymfQ-ycfK', 'ycfK-ymfS']",10,0.36392035325372535
678,stfE-tfaE,1207739,1208877,1,,"['stfE', 'tfaE']",,2,0.24546301362869147
679,pinE,1208907,1209461,0,,['pinE'],,1,0.04830596673599148
680,mcrA,1209568,1210401,0,,['mcrA'],,1,0.1708669336389176
681,icdC,1210647,1210799,0,,['icdC'],,1,0.14531063164485247
682,iraM,1210902,1211225,1,,['iraM'],,1,0.0
683,ycgX,1211925,1212502,1,ycgX-,['ycgX'],['ycgX-'],1,0.46308608965672987
684,bluR,1212550,1213281,1,,['bluR'],,1,9.527880511228366
685,bluF,1213486,1214697,1,,['bluF'],,1,0.6673676407781592
686,ycgZ-ymgA-ariR-ymgC,1215011,1216218,0,,"['ycgZ', 'ymgA', 'ariR', 'ymgC']","['ycgZ-ymgA', 'ymgA-ariR', 'ariR-ymgC']",4,0.15636015105682508
687,ycgG,1216550,1218073,0,,['ycgG'],,1,0.15608838167194183
688,ymgF,1218205,1218423,0,,['ymgF'],,1,0.7298233583493423
689,ycgH_1,1220023,1220343,0,,['ycgH_1'],,1,0.07377085137911235
690,ycgH_2,1220428,1221444,0,,['ycgH_2'],,1,0.5479000744383975
691,ymgGD,1221527,1222141,1,,"['ymgG', 'ymgD']",['ymgG-ymgD'],2,1.3937074188347982
692,ymgH-ycgI,1222687,1223129,0,,"['ymgH', 'ycgI']",['ymgH-ycgI'],2,0.45515591513201015
693,minCDE,1223501,1225386,1,minC-,"['minC', 'minD', 'minE']","['minC-', 'minC-minD', 'minD-minE']",3,59.25545124191372
694,ycgJ,1225703,1226190,0,ycgJ - ,['ycgJ'],['ycgJ-'],1,1.9001513268740706
695,pliG,1226293,1226728,1,pliG-,['pliG'],['pliG-'],1,1.006113648005163
696,ycgL,1226903,1227229,0,,['ycgL'],,1,1.496766162195029
697,ycgM,1227301,1227960,0,,['ycgM'],,1,10.731921418008229
698,ycgN,1228019,1228498,0,ycgN - ,['ycgN'],['ycgN-'],1,5.174647821590364
699,hlyE,1228705,1229616,1,,['hlyE'],,1,0.08306348058018552
700,C0299,1229851,1229929,0,,['C0299'],,1,0.06799118614485636
701,umuDC,1229989,1231676,0,,"['umuD', 'umuC']",,2,0.47744614381532163
702,dsbB,1231722,1232252,1,,['dsbB'],,1,228.43075614874604
703,nhaB,1232398,1233989,1,nhaB-,['nhaB'],['nhaB-'],1,36.545480456497884
704,fadR,1234160,1234879,0,,['fadR'],,1,19.549858846554734
705,ycgB,1234931,1236463,1,,['ycgB'],,1,2.429922697441257
706,dadAX,1236793,1239171,0,,"['dadA', 'dadX']",['dadA-dadX'],2,220.85783452943755
707,cvrA,1239557,1241324,1,cvrA-,['cvrA'],['cvrA-'],1,11.690893981552659
708,ldcA,1241388,1242383,1,ldcA-,['ldcA'],['ldcA-'],1,15.094901487339483
709,emtA,1242402,1243013,0,,['emtA'],,1,8.707571700377857
710,ycgR,1243015,1243749,1,,['ycgR'],,1,0.6118028795922056
711,ymgE,1243950,1244204,0,,['ymgE'],,1,4.7525734780953615
712,ycgY,1244382,1244822,0,,['ycgY'],,1,0.08250508895870269
713,treA,1244901,1246598,1,,['treA'],,1,2.6095982272980747
714,dhaKLM,1246918,1250060,1,,"['dhaK', 'dhaL', 'dhaM']","['dhaK-dhaL', 'dhaL-dhaM']",3,82.07415842570734
715,dhaR,1250288,1252207,0,,['dhaR'],,1,2.8488343946426427
716,ycgV,1252307,1255174,1,,['ycgV'],,1,2.5100917283445408
717,pth-ychF,1255943,1257735,1,,"['pth', 'ychF']",['pth-ychF'],2,17.552820912102455
718,ychH,1257960,1258291,0,ychH - ,['ychH'],['ychH-'],1,71.22998672117059
719,dauA,1258346,1260025,1,,['dauA'],,1,58.12241588188768
720,lolB-ispE-prs,1260150,1262758,1,lolB-,"['lolB', 'ispE', 'prs']","['lolB-', 'ispE-prs']",3,444.6677521485937
721,hemA-prfA-prmC,1262897,1266149,0,hemA - ,"['hemA', 'prfA', 'prmC']","['hemA-', 'hemA-prfA']",3,10.957562937623022
722,ychQA-kdsA,1266146,1268241,0,,"['ychQ', 'ychA', 'kdsA']","['ychQ-ychA', 'ychA-kdsA']",3,11.390600028090246
723,ldrA,1268390,1268497,1,,['ldrA'],,1,48.19163480030295
724,rdlA,1268545,1268611,0,,['rdlA'],,1,14.051832419289777
725,ldrB,1268925,1269032,1,,['ldrB'],,1,31.3817521342189
726,rdlB,1269080,1269145,0,,['rdlB'],,1,1.3537949918990395
727,ldrC,1269460,1269567,1,,['ldrC'],,1,45.340108581938075
728,rdlC,1269615,1269682,0,,['rdlC'],,1,8.160672547874176
729,chaA,1269971,1271071,1,,['chaA'],,1,57.728458116680464
730,chaBC,1271215,1272424,0,chaB - ,"['chaB', 'chaC']","['chaB-', 'chaB-chaC']",2,1.6790969449018576
731,ychN,1272468,1272854,1,ychN-,['ychN'],['ychN-'],1,133.11518673691745
732,ychO,1273147,1274400,0,,['ychO'],,1,0.5652141580341684
733,narXL,1274401,1276840,1,,"['narX', 'narL']",,2,16.600161972987195
734,narK,1277179,1278570,0,,['narK'],,1,42.51409699491084
735,narGHJI,1279086,1285748,0,,"['narG', 'narH', 'narJ', 'narI']",,4,15.08743688916403
736,ychS,1285931,1286206,0,,['ychS'],,1,0.4237474630885604
737,rttR,1286288,1286458,1,,['rttR'],,1,112.59302784877374
738,tyrTV-tpr,1286309,1286844,1,,"['tyrT', 'tyrV', 'tpr']","['tyrT-tyrV', 'tyrV-tpr']",3,2244.5044077491625
739,purU,1287004,1287973,1,purU-,['purU'],['purU-'],1,8.60460110060193
740,ychJ,1287896,1288399,1,ychJ-,['ychJ'],['ychJ-'],1,24.6081916234298
741,rssAB,1288328,1290477,0,rssA - ,"['rssA', 'rssB']","['rssA-', 'rssA-rssB']",2,3.5164714236459402
742,galU,1290543,1291587,0,galU - ,['galU'],['galU-'],1,10.471528093445944
743,hns,1291731,1292182,1,hns-,['hns'],['hns-'],1,160.0107721522869
744,tdk,1292749,1293366,0,,['tdk'],,1,1.9994067753976623
745,ychG_1G_2,1293648,1294420,1,,"['ychG_1', 'ychG_2']",,2,1.387155397625521
746,adhE,1294668,1297439,1,adhE-,['adhE'],['adhE-'],1,81.4982913236079
747,ychE,1297820,1298467,0,,['ychE'],,1,6.054033022378199
748,oppABCDF,1299066,1304791,0,oppA - ,"['oppA', 'oppB', 'oppC', 'oppD', 'oppF']","['oppA-', 'oppA-oppB', 'oppB-oppC', 'oppC-oppD']",5,59.523260836246145
749,clsA-yciU,1304844,1306668,1,,"['clsA', 'yciU']",['clsA-yciU'],2,17.964423773165205
750,yciY,1306784,1306984,0,yciY - ,['yciY'],['yciY-'],1,16.33605977920806
751,kch,1307039,1308292,1,,['kch'],,1,1.7223237869053163
752,yciI,1308592,1308915,1,yciI-,['yciI'],['yciI-'],1,53.767495513288
753,tonB,1309080,1309831,0,tonB - ,['tonB'],['tonB-'],1,8.84029138532847
754,yciA,1309871,1310269,1,,['yciA'],,1,47.42839304405712
755,yciCB,1310374,1311686,1,,"['yciC', 'yciB']",['yciC-yciB'],2,30.788121190014465
756,ompW,1312014,1312681,0,ompW - ,['ompW'],['ompW-'],1,4.795227537399522
757,yciGFE,1312741,1314058,1,,"['yciG', 'yciF', 'yciE']","['yciG-yciF', 'yciF-yciE']",3,0.06491001361951688
758,trpLEDCBA,1314439,1321131,1,trpL-,"['trpL', 'trpE', 'trpD', 'trpC', 'trpB', 'trpA']","['trpL-', 'trpL-trpE', 'trpD-trpC', 'trpC-trpB']",6,5.544676489577677
759,yciVOQ,1321243,1324664,0,,"['yciV', 'yciO', 'yciQ']",['yciO-yciQ'],3,4.521228320901849
760,rluB,1324875,1325750,0,,['rluB'],,1,51.22493017122701
761,yciK-btuR,1325790,1327135,1,,"['yciK', 'btuR']",,2,8.075987971560549
762,sohB,1327324,1328404,0,sohB - ,['sohB'],['sohB-'],1,4.533299961992905
763,yciN,1328440,1328814,1,yciN-,['yciN'],['yciN-'],1,17.767486708559677
764,topA,1328841,1331668,0,topA - ,['topA'],['topA-'],1,11.753298420833264
765,cysB,1331784,1332852,0,cysB - ,['cysB'],['cysB-'],1,4.575449823354288
766,ymiA-yciX,1333183,1333481,0,,"['ymiA', 'yciX']",['ymiA-yciX'],2,8.298535351112074
767,acnA,1333854,1336529,0,,['acnA'],,1,7.7133380367218285
768,ribA,1336593,1337215,1,ribA-,['ribA'],['ribA-'],1,30.30561089351627
769,pgpB,1337353,1338117,0,,['pgpB'],,1,5.50336542655618
770,yciSM-pyrF-yciH,1338210,1341007,0,yciS - ,"['yciS', 'yciM', 'pyrF', 'yciH']","['yciS-', 'yciS-yciM', 'yciM-pyrF']",4,22.904586458243095
771,osmB,1341133,1341394,1,osmB-,['osmB'],['osmB-'],1,2.5952937219054344
772,yciZT,1341620,1342660,1,yciZ-,"['yciZ', 'yciT']","['yciZ-', 'yciZ-yciT']",2,16.543893701506043
773,gmr,1342780,1344865,1,gmr-,['gmr'],['gmr-'],1,2.1577149487453986
774,rnb,1345001,1346935,1,,['rnb'],,1,47.57647315939142
775,yciW,1347003,1348130,1,,['yciW'],,1,1.7254158263087838
776,fabI,1348274,1349146,1,fabI-,['fabI'],['fabI-'],1,596.7282637071357
777,ycjD,1349430,1349783,1,,['ycjD'],,1,6.045474622214952
778,sapABCDF,1349851,1355133,1,,"['sapA', 'sapB', 'sapC', 'sapD', 'sapF']",['sapD-sapF'],5,26.49744941844623
779,ymjA,1355446,1355724,1,ymjA-,['ymjA'],['ymjA-'],1,3.3205004464511028
780,puuAP,1355825,1358931,1,,"['puuA', 'puuP']",['puuA-puuP'],2,5.05429072447509
781,puuDRCBE,1359143,1364838,0,,"['puuD', 'puuR', 'puuC', 'puuB', 'puuE']","['puuD-puuR', 'puuR-puuC', 'puuC-puuB', 'puuB-puuE']",5,0.9067190988842475
782,pspF,1364958,1365935,1,,['pspF'],,1,2.6424528142899253
783,pspABCDE,1366061,1368026,0,pspA - ,"['pspA', 'pspB', 'pspC', 'pspD', 'pspE']","['pspA-', 'pspA-pspB', 'pspC-pspD', 'pspD-pspE']",5,5.13064155083202
784,ycjMNOPQRSTUV-ymjB,1368212,1379925,0,ycjM - ,"['ycjM', 'ycjN', 'ycjO', 'ycjP', 'ycjQ', 'ycjR', 'ycjS', 'ycjT', 'ycjU', 'ycjV', 'ymjB']","['ycjM-', 'ycjM-ycjN', 'ycjN-ycjO', 'ycjP-ycjQ', 'ycjQ-ycjR', 'ycjR-ycjS', 'ycjU-ycjV']",11,1.832122901783607
785,ompG,1379970,1380875,0,,['ompG'],,1,0.3151948445636097
786,ycjW,1380986,1382012,1,ycjW-,['ycjW'],['ycjW-'],1,2.575878280203289
787,ycjXF-tyrR,1382140,1386284,0,,"['ycjX', 'ycjF', 'tyrR']",['ycjF-tyrR'],3,25.94754080443645
788,tpx,1386328,1386834,1,,['tpx'],,1,200.62998047507597
789,ycjG,1386953,1387918,0,,['ycjG'],,1,5.4180590451066655
790,ycjY-ymjDC-mpaA,1387893,1389888,1,,"['ycjY', 'ymjD', 'ymjC', 'mpaA']","['ymjD-ymjC', 'ymjC-mpaA']",4,7.224907483791672
791,pgrR,1390014,1390913,0,,['pgrR'],,1,0.8267137007508928
792,mppA,1391013,1392863,0,mppA - ,['mppA'],['mppA-'],1,8.567641345131968
793,ynaI,1392914,1393945,1,,['ynaI'],,1,2.784396044743459
794,insH-4,1394099,1395115,0,,['insH-4'],,1,15.361042221086315
795,ynaJ,1395352,1395645,0,ynaJ - ,['ynaJ'],['ynaJ-'],1,9.543794699817278
796,uspE,1395695,1396684,1,uspE-,['uspE'],['uspE-'],1,15.145575560036287
797,fnr,1396797,1397575,1,fnr-,['fnr'],['fnr-'],1,101.21420441390796
798,abgABT-ogt,1397744,1402588,1,,"['abgA', 'abgB', 'abgT', 'ogt']","['abgB-abgT', 'abgT-ogt']",4,2.045412475895046
799,abgR,1402764,1403672,0,,['abgR'],,1,1.064549386993654
800,mcaS,1403682,1403774,1,,['mcaS'],,1,55.9123474107335
801,smrA,1404002,1404565,0,,['smrA'],,1,6.177910213168308
802,ydaM,1404586,1405892,1,ydaM-,['ydaM'],['ydaM-'],1,2.3790702735943308
803,ydaN,1406050,1407056,0,ydaN - ,['ydaN'],['ydaN-'],1,4.362720318932947
804,fnrS,1407151,1407270,0,fnrS - ,['fnrS'],['fnrS-'],1,164.5646795627016
805,C0343-dbpA,1407386,1408907,0,,"['C0343', 'dbpA']",['C0343-dbpA'],2,3.770714735753745
806,ttcA,1409036,1410082,1,ttcA-,['ttcA'],['ttcA-'],1,9.915198345931119
807,recET-lar-rcbA-ydaQ-intR,1410023,1415409,1,,"['recE', 'recT', 'lar', 'rcbA', 'ydaQ', 'intR']","['recT-lar', 'rcbA-ydaQ', 'ydaQ-intR']",6,0.7068675984654839
808,racC,1415511,1415786,1,,['racC'],,1,0.0651410298718116
809,kilR-ydaE,1415861,1416252,1,,"['kilR', 'ydaE']",,2,0.07729989213176452
810,sieB,1416694,1417182,0,,['sieB'],,1,0.023783313286306926
811,ydaGF,1417179,1417479,1,,"['ydaG', 'ydaF']",['ydaG-ydaF'],2,0.13858851978476353
812,racR,1417788,1418265,1,racR-,['racR'],['racR-'],1,6.114617682132585
813,ydaSTUVW-rzpR,1418388,1421667,0,,"['ydaS', 'ydaT', 'ydaU', 'ydaV', 'ydaW', 'rzpR']","['ydaS-ydaT', 'ydaT-ydaU', 'ydaU-ydaV', 'ydaV-ydaW', 'ydaW-rzpR']",6,0.10234241710239539
814,rzoR,1421423,1421608,0,,['rzoR'],,1,0.1258075341948233
815,trkG,1421805,1423262,0,,['trkG'],,1,0.5520907023296707
816,ynaK-ydaY,1423400,1424003,0,,"['ynaK', 'ydaY']",,2,0.23098307181342057
817,ynaA-lomR_1,1424477,1425636,0,,"['ynaA', 'lomR_1']",,2,0.25777426028673367
818,insH-5,1425769,1426749,1,,['insH-5'],,1,6.884620992914597
819,lomR_2-stfR-tfaR,1426837,1431009,0,,"['lomR_2', 'stfR', 'tfaR']",['lomR_2-stfR'],3,0.3025041420457092
820,pinR,1431107,1431697,1,,['pinR'],,1,0.14697879095014352
821,ynaE,1432014,1432649,1,ynaE-,['ynaE'],['ynaE-'],1,0.06844848729269326
822,uspF,1433208,1433664,1,uspF-,['uspF'],['uspF-'],1,26.28809318933134
823,ydbK-ompN,1433783,1438868,1,ydbK-,"['ydbK', 'ompN']","['ydbK-', 'ydbK-ompN']",2,8.514006890123333
824,micC,1435144,1435252,0,,['micC'],,1,0.050992033581794556
825,ydbJ,1439045,1439347,0,ydbJ - ,['ydbJ'],['ydbJ-'],1,10.900301303574032
826,hslJ,1439344,1439766,1,,['hslJ'],,1,2.1313767074066745
827,ldhA,1439877,1440866,1,,['ldhA'],,1,9.097711121422142
828,ydbH-ynbE-ydbL,1441074,1444229,0,,"['ydbH', 'ynbE', 'ydbL']",['ynbE-ydbL'],3,7.238710089023821
829,feaR,1444401,1445306,1,,['feaR'],,1,2.3731760820201524
830,feaB,1445542,1447041,0,,['feaB'],,1,1.6599663799258035
831,tynA,1447099,1449372,1,,['tynA'],,1,0.38656472705851164
832,paaZ,1449620,1451665,1,,['paaZ'],,1,1.626203344267322
833,paaABCDEFGHIJK,1451950,1461461,0,,"['paaA', 'paaB', 'paaC', 'paaD', 'paaE', 'paaF', 'paaG', 'paaH', 'paaI', 'paaJ', 'paaK']","['paaA-paaB', 'paaB-paaC', 'paaC-paaD', 'paaD-paaE', 'paaG-paaH', 'paaJ-paaK']",11,2.778574797945997
834,paaXY,1461533,1463084,0,paaX - ,"['paaX', 'paaY']",['paaX-'],2,4.297765237376721
835,ydbA_1,1463415,1465973,0,,['ydbA_1'],,1,0.22805932955984326
836,insCD-2C-2D-2,1465944,1467217,1,,"['insC-2', 'insCD-2', 'insD-2']",,3,2.9336696497965966
837,insI-2,1467366,1468532,0,insI-2 - ,['insI-2'],['insI-2-'],1,0.32058524407141065
838,ydbA_2,1468713,1472036,0,,['ydbA_2'],,1,1.1907471841330666
839,ydbC,1472212,1473104,0,ydbC - ,['ydbC'],['ydbC-'],1,3.0534759270052136
840,ydbD,1473167,1475473,0,,['ydbD'],,1,0.1512561390979044
841,ynbABCD,1475644,1480224,0,,"['ynbA', 'ynbB', 'ynbC', 'ynbD']","['ynbB-ynbC', 'ynbC-ynbD']",4,0.7299891449534452
842,azoR,1480278,1480883,1,,['azoR'],,1,5.891469530116283
843,hrpA,1481141,1484986,0,,['hrpA'],,1,7.191285362747465
844,ydcF,1485227,1486058,0,ydcF - ,['ydcF'],['ydcF-'],1,7.753023302090314
845,aldA,1486255,1487694,0,,['aldA'],,1,18.33100105281584
846,gapC_1C_2,1487736,1488777,1,gapC_1-,"['gapC_1', 'gapC_2']",['gapC_1-'],2,6.614870761592409
847,cybB,1488925,1489455,0,,['cybB'],,1,5.5262020240432825
848,rydC,1489466,1489529,1,,['rydC'],,1,6.956732625551699
849,ydcA,1489700,1489873,0,,['ydcA'],,1,2.6394817259184133
850,hokB,1489945,1490094,1,,['hokB'],,1,268.26373066435974
851,mokB,1489985,1490152,1,,['mokB'],,1,282.5902831034646
852,sokB,1490142,1490197,0,,['sokB'],,1,8.439786055183902
853,trg,1490493,1492133,0,,['trg'],,1,0.3981336736970873
854,ydcI,1492171,1493094,1,,['ydcI'],,1,7.0867604138012235
855,ydcJ,1493311,1494654,0,,['ydcJ'],,1,0.8130977794789411
856,opgD,1494879,1496534,0,,['opgD'],,1,22.015491449405605
857,ydcH,1496674,1496898,0,,['ydcH'],,1,1.8415008761735518
858,rimL,1496961,1497500,0,,['rimL'],,1,0.8422826969985553
859,ydcK,1497492,1498472,1,,['ydcK'],,1,0.6732649877765763
860,tehAB,1498596,1500178,0,,"['tehA', 'tehB']",,2,3.2849205165654554
861,ydcL,1500480,1501148,0,,['ydcL'],,1,3.035046658647514
862,yncK_1,1501166,1501333,1,,['yncK_1'],,1,0.40041344124254014
863,yncK_2,1501385,1501672,1,,['yncK_2'],,1,0.18517618604009362
864,ydcM,1501680,1502888,0,,['ydcM'],,1,7.996437363073761
865,ydcO,1502928,1504103,1,,['ydcO'],,1,9.525236263552165
866,ydcN,1504195,1504731,0,,['ydcN'],,1,2.5463571740032123
867,ydcP,1504780,1506765,0,ydcP - ,['ydcP'],['ydcP-'],1,4.093399552710644
868,yncJ,1506857,1507087,1,,['yncJ'],,1,3.773921279131165
869,hicAB,1507309,1507947,0,,"['hicA', 'hicB']",['hicA-hicB'],2,0.8535903200948627
870,ydcR,1508026,1509432,0,,['ydcR'],,1,2.403534337560288
871,ydcSTUV-patD,1509619,1515025,0,ydcS - ,"['ydcS', 'ydcT', 'ydcU', 'ydcV', 'patD']","['ydcS-', 'ydcS-ydcT', 'ydcV-patD']",5,2.6761368262560596
872,yncL,1515122,1515241,1,yncL-,['yncL'],['yncL-'],1,210.61771058212943
873,ydcX,1515412,1515585,0,,['ydcX'],,1,2.337228453937925
874,ydcY,1515635,1515904,0,ydcY - ,['ydcY'],['ydcY-'],1,14.180587760065638
875,mnaT-ydcZ,1515905,1516869,1,,"['mnaT', 'ydcZ']",,2,28.00628013656178
876,curA,1517050,1518087,0,,['curA'],,1,3.080276410791198
877,mcbR,1518285,1518950,0,,['mcbR'],,1,0.31986572921436873
878,yncD,1518986,1521088,1,,['yncD'],,1,2.801056975712167
879,yncE,1521330,1522391,0,,['yncE'],,1,4.081759810026365
880,ansP,1522504,1524003,1,,['ansP'],,1,7.794032002030079
881,yncG,1524270,1524887,0,,['yncG'],,1,0.7607646418882202
882,yncH,1524963,1525175,0,,['yncH'],,1,0.06951227902125488
883,rhsE-ydcD,1525913,1528427,0,,"['rhsE', 'ydcD']",,2,0.7855502651449947
884,yncI,1528609,1529355,0,,['yncI'],,1,0.03926638411057115
885,yncM,1529399,1529599,0,,['yncM'],,1,0.031137992495325527
886,ydcC,1529839,1530975,0,,['ydcC'],,1,0.03824468471391566
887,pptA,1531053,1531308,0,pptA - ,['pptA'],['pptA-'],1,0.25177986119267126
888,yddH,1531305,1531874,1,,['yddH'],,1,1.6387649459318525
889,nhoA,1532023,1532892,0,nhoA - ,['nhoA'],['nhoA-'],1,1.7841532837881953
890,yddE,1532988,1533902,1,yddE-,['yddE'],['yddE-'],1,7.57770758086931
891,narZYWV,1533960,1540613,1,,"['narZ', 'narY', 'narW', 'narV']",,4,1.416273738316811
892,narU,1540695,1542083,1,,['narU'],,1,0.8528357784717133
893,yddLKJ,1542407,1544051,1,,"['yddL', 'yddK', 'yddJ']","['yddL-yddK', 'yddK-yddJ']",3,0.05489279148488877
894,yddG,1544311,1545226,1,yddG-,['yddG'],['yddG-'],1,2.471539718481139
895,fdnGHI,1545395,1550014,0,fdnG - ,"['fdnG', 'fdnH', 'fdnI']","['fdnG-', 'fdnG-fdnH']",3,7.361587571213052
896,C0362,1550024,1550409,0,,['C0362'],,1,4.335279773792188
897,yddM,1550421,1550783,1,,['yddM'],,1,4.146777912179587
898,adhP,1550851,1551861,1,,['adhP'],,1,2.968213912733305
899,maeA,1551995,1553692,1,,['maeA'],,1,47.740478935256604
900,bdm-sra,1553849,1554303,1,,"['bdm', 'sra']",['bdm-sra'],2,4.749019957589278
901,osmC,1554619,1555079,0,osmC - ,['osmC'],['osmC-'],1,1.2118487903576634
902,ddpXABCDF,1555135,1561099,1,,"['ddpX', 'ddpA', 'ddpB', 'ddpC', 'ddpD', 'ddpF']","['ddpX-ddpA', 'ddpA-ddpB']",6,1.8253238430143084
903,dosCP,1561357,1565163,1,,"['dosC', 'dosP']",['dosC-dosP'],2,0.4407933454932467
904,yddW,1565527,1566846,1,,['yddW'],,1,6.8007867300352896
905,gadBC,1566977,1570096,1,gadB-,"['gadB', 'gadC']","['gadB-', 'gadB-gadC']",2,0.9088848641740611
906,pqqL,1570430,1573225,1,,['pqqL'],,1,1.0015625747096366
907,yddAB,1573270,1577365,1,,"['yddA', 'yddB']",['yddA-yddB'],2,0.7033374260789531
908,ydeM,1577656,1578813,1,,['ydeM'],,1,0.9814425083952583
909,ydeN,1578865,1580547,1,,['ydeN'],,1,6.488038225323741
910,safA-ydeO,1580949,1581982,1,,"['safA', 'ydeO']",['safA-ydeO'],2,0.08664565342934574
911,ydeP,1582230,1584509,1,,['ydeP'],,1,0.6388578418383231
912,ydeQ,1584843,1585757,1,,['ydeQ'],,1,0.14493969136849055
913,ydeTSR,1585816,1588024,1,,"['ydeT', 'ydeS', 'ydeR']","['ydeT-ydeS', 'ydeS-ydeR']",3,0.13388103363728407
914,yneL,1588380,1588559,1,,['yneL'],,1,0.1761979467169376
915,hipBA,1588877,1590465,1,,"['hipB', 'hipA']",,2,1.1484334869911457
916,ydeU,1590688,1592088,1,,['ydeU'],,1,2.0471394987768967
